"num_step"	"brunneaA"	"brunneaB"	"deplanataA"	"deplanataB"	"kauaiensisA"	"kauaiensisB"	"mauiensisA"	"mauiensisB"	"molokaiensisA"	"molokaiensisB"	"nihoaA"	"nihoaB"	"nitidaA"	"nitidaC"	"nitidaB"	"parvulaA"	"parvulaB"	"pilimauiensisA"	"pilimauiensisB"	"unicaA"	"unicaB"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"30"	"31"	"32"	"33"	"34"	"35"	"36"	"37"	"38"	"39"	"40"	"41"
1050	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1060	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	3	3	5	3	4	5	4	5	3	3	3	5	4	2	4	4	4	1	4	4
1070	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1080	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1090	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	1	3	4	4	4	5	4	5	3	3	3	5	4	2	4	4	4	1	4	4
1100	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1110	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1120	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1130	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1140	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
1150	4	4	4	4	2	2	4	4	4	4	1	1	5	5	5	3	3	4	4	3	3	2	2	2	2	4	4	4	5	2	3	3	5	4	2	4	4	4	1	4	4
